Sector,Window,Selection,Regression,Scale,Response,Lag,Variable,Target,Goal,Method,Feature,In-AUC,In-Brier,In-LL,Out-AUC,Out-Brier,Out-LL
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,explain,xgboost,lasso_day,1,0.001,0.018,0.495,0.2373,1.5132
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,predict,logistic,none,1,0.0036,0.0211,0.5775,0.2878,4.9517
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,predict,logistic,lasso,0.8047,0.1154,0.3708,0.3959,0.2308,2.3622
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,predict,logistic,lasso_company,0.674,0.138,0.4354,0.2759,0.2159,1.6744
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,predict,logistic,lasso_day,0.7897,0.1182,0.3716,0.4804,0.2112,2.8732
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,predict,asym logistic,none,1,0.0044,0.0229,0.5774,0.2932,5.0816
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,predict,asym logistic,lasso,0.8089,0.1536,0.4661,0.3986,0.2713,2.6296
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,predict,asym logistic,lasso_company,0.6796,0.1903,0.5524,0.2808,0.2578,1.845
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,predict,asym logistic,lasso_day,0.7934,0.1595,0.4654,0.4812,0.2571,2.9658
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,predict,xgboost,none,1,0,0.0014,0.6155,0.2,1.3541
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,predict,xgboost,lasso,1,0.0002,0.0082,0.4705,0.2386,1.6021
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,predict,xgboost,lasso_company,1,0.0004,0.0112,0.3182,0.2564,1.7775
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,predict,xgboost,lasso_day,1,0.0004,0.0105,0.5262,0.2242,1.5697
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,explain,logistic,none,0.6426,0.1626,0.5026,0.6856,0.1755,0.5422
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,explain,logistic,lasso,0.6426,0.1626,0.5026,0.6856,0.1755,0.5422
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,explain,logistic,lasso_company,0.6426,0.1626,0.5026,0.6856,0.1755,0.5422
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,explain,logistic,lasso_day,0.6426,0.1626,0.5026,0.6856,0.1755,0.5422
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,explain,asym logistic,none,0.6446,0.2247,0.6416,0.6892,0.2464,0.692
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,explain,asym logistic,lasso,0.6446,0.2247,0.6416,0.6892,0.2464,0.692
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,explain,asym logistic,lasso_company,0.6446,0.2247,0.6416,0.6892,0.2464,0.692
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,explain,asym logistic,lasso_day,0.6446,0.2247,0.6416,0.6892,0.2464,0.692
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,explain,xgboost,none,1,0.0044,0.0529,0.347,0.2666,1.1085
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,explain,xgboost,lasso,1,0.0044,0.0529,0.347,0.2666,1.1085
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,explain,xgboost,lasso_company,1,0.0044,0.0529,0.347,0.2666,1.1085
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,explain,xgboost,lasso_day,1,0.0044,0.0529,0.347,0.2666,1.1085
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,predict,logistic,none,0.6585,0.1628,0.5016,0.7019,0.1782,0.5457
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,predict,logistic,lasso,0.6585,0.1628,0.5016,0.7019,0.1782,0.5457
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,predict,logistic,lasso_company,0.6585,0.1628,0.5016,0.7019,0.1782,0.5457
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,predict,logistic,lasso_day,0.6585,0.1628,0.5016,0.7019,0.1782,0.5457
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,predict,asym logistic,none,0.6589,0.223,0.6397,0.7024,0.2517,0.7099
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,predict,asym logistic,lasso,0.6589,0.223,0.6397,0.7024,0.2517,0.7099
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,predict,asym logistic,lasso_company,0.6589,0.223,0.6397,0.7024,0.2517,0.7099
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,predict,asym logistic,lasso_day,0.6589,0.223,0.6397,0.7024,0.2517,0.7099
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,predict,xgboost,none,1,0.0071,0.0702,0.5105,0.2436,0.8808
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,predict,xgboost,lasso,1,0.0071,0.0702,0.5105,0.2436,0.8808
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,predict,xgboost,lasso_company,1,0.0071,0.0702,0.5105,0.2436,0.8808
Cap,63,dynamic,quantile,daily,Adj_MI,21,frm,recession,predict,xgboost,lasso_day,1,0.0071,0.0702,0.5105,0.2436,0.8808
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,explain,logistic,none,0.8594,0.1157,0.369,0.4603,0.2617,0.893
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,explain,logistic,lasso,0.7678,0.1392,0.4404,0.6122,0.2107,0.655
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,explain,logistic,lasso_company,0.7474,0.1471,0.4604,0.6752,0.1835,0.5631
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,explain,logistic,lasso_day,0.7555,0.143,0.449,0.5809,0.198,0.6055
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,explain,asym logistic,none,0.8696,0.149,0.4692,0.4742,0.3051,1.0021
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,explain,asym logistic,lasso,0.7726,0.1858,0.5584,0.6291,0.2522,0.7702
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,explain,asym logistic,lasso_company,0.7527,0.1966,0.5843,0.6776,0.234,0.6823
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,explain,asym logistic,lasso_day,0.7657,0.1922,0.5718,0.5907,0.2432,0.6931
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,explain,xgboost,none,1,0,0.0029,0.4607,0.259,1.1865
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,explain,xgboost,lasso,1,0.0006,0.0161,0.5486,0.25,1.0138
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,explain,xgboost,lasso_company,1,0.002,0.0259,0.5995,0.2311,0.9338
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,explain,xgboost,lasso_day,1,0.0006,0.0123,0.4462,0.2516,1.1216
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,predict,logistic,none,0.8645,0.1102,0.3538,0.5249,0.248,0.8806
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,predict,logistic,lasso,0.7935,0.13,0.4138,0.6266,0.2218,0.7437
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,predict,logistic,lasso_company,0.7597,0.1436,0.4498,0.6897,0.195,0.6028
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,predict,logistic,lasso_day,0.7771,0.1376,0.4342,0.6899,0.1996,0.6125
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,predict,asym logistic,none,0.8746,0.1449,0.4516,0.5263,0.2898,0.9799
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,predict,asym logistic,lasso,0.7982,0.1743,0.5253,0.6154,0.2533,0.8383
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,predict,asym logistic,lasso_company,0.7628,0.191,0.5705,0.6894,0.2468,0.7469
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,predict,asym logistic,lasso_day,0.7866,0.1841,0.5522,0.6914,0.24,0.7276
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,predict,xgboost,none,1,0,0.0029,0.494,0.2654,1.1704
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,predict,xgboost,lasso,1,0.0003,0.0108,0.4946,0.262,1.0989
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,predict,xgboost,lasso_company,1,0.0005,0.0155,0.5597,0.2434,1.0287
Cap,63,dynamic,quantile,daily,Adj_MI,21,lambda_j,recession,predict,xgboost,lasso_day,1,0.0001,0.0068,0.5323,0.2578,1.1078
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,explain,logistic,none,0.6577,0.1621,0.5004,0.6828,0.186,0.5656
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,explain,logistic,lasso,0.6577,0.1621,0.5004,0.6828,0.186,0.5656
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,explain,logistic,lasso_company,0.6577,0.1621,0.5004,0.6828,0.186,0.5656
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,explain,logistic,lasso_day,0.6577,0.1621,0.5004,0.6828,0.186,0.5656
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,explain,asym logistic,none,0.6618,0.2214,0.6353,0.6803,0.2582,0.7294
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,explain,asym logistic,lasso,0.6618,0.2214,0.6353,0.6803,0.2582,0.7294
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,explain,asym logistic,lasso_company,0.6618,0.2214,0.6353,0.6803,0.2582,0.7294
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,explain,asym logistic,lasso_day,0.6618,0.2214,0.6353,0.6803,0.2582,0.7294
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,explain,xgboost,none,1,0.002,0.0342,0.3233,0.2893,1.1631
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,explain,xgboost,lasso,1,0.002,0.0342,0.3233,0.2893,1.1631
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,explain,xgboost,lasso_company,1,0.002,0.0342,0.3233,0.2893,1.1631
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,explain,xgboost,lasso_day,1,0.002,0.0342,0.3233,0.2893,1.1631
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,predict,logistic,none,0.665,0.1625,0.5006,0.6872,0.1892,0.5737
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,predict,logistic,lasso,0.665,0.1625,0.5006,0.6872,0.1892,0.5737
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,predict,logistic,lasso_company,0.665,0.1625,0.5006,0.6872,0.1892,0.5737
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,predict,logistic,lasso_day,0.665,0.1625,0.5006,0.6872,0.1892,0.5737
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,predict,asym logistic,none,0.6676,0.2211,0.6352,0.6807,0.2628,0.7455
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,predict,asym logistic,lasso,0.6676,0.2211,0.6352,0.6807,0.2628,0.7455
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,predict,asym logistic,lasso_company,0.6676,0.2211,0.6352,0.6807,0.2628,0.7455
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,predict,asym logistic,lasso_day,0.6676,0.2211,0.6352,0.6807,0.2628,0.7455
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,predict,xgboost,none,1,0.0028,0.0399,0.482,0.2648,1.0991
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,predict,xgboost,lasso,1,0.0028,0.0399,0.482,0.2648,1.0991
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,predict,xgboost,lasso_company,1,0.0028,0.0399,0.482,0.2648,1.0991
Cap,63,dynamic,quantile,daily,Adj_MI,63,frm,recession,predict,xgboost,lasso_day,1,0.0028,0.0399,0.482,0.2648,1.0991
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,explain,logistic,none,1,0.0004,0.0084,0.5815,0.3157,4.6872
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,explain,logistic,lasso,0.8455,0.0976,0.3126,0.6033,0.2582,2.4474
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,explain,logistic,lasso_company,0.7985,0.1311,0.4158,0.6899,0.2269,0.7352
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,explain,logistic,lasso_day,0.8256,0.121,0.3868,0.6704,0.2218,0.7579
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,explain,asym logistic,none,1,0.0004,0.0088,0.5821,0.3206,4.8452
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,explain,asym logistic,lasso,0.8469,0.1292,0.3944,0.6069,0.2751,2.5686
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,explain,asym logistic,lasso_company,0.8032,0.1717,0.5242,0.6898,0.2754,0.8928
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,explain,asym logistic,lasso_day,0.8349,0.1592,0.4908,0.6741,0.2565,0.8822
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,explain,xgboost,none,1,0,0.002,0.5495,0.2411,1.1165
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,explain,xgboost,lasso,1,0.0003,0.01,0.517,0.245,1.1142
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,explain,xgboost,lasso_company,1,0.0002,0.0099,0.5541,0.2633,1.1751
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,explain,xgboost,lasso_day,1,0.0001,0.0057,0.5314,0.256,1.1988
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,predict,logistic,none,1,0.0004,0.009,0.5371,0.3108,4.9402
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,predict,logistic,lasso,0.8335,0.1052,0.3365,0.5883,0.2445,1.5556
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,predict,logistic,lasso_company,0.7983,0.1355,0.4252,0.6761,0.2289,0.7395
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,predict,logistic,lasso_day,0.7887,0.1329,0.4214,0.6864,0.2135,0.684
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,predict,asym logistic,none,1,0.0005,0.0094,0.5372,0.316,5.0924
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,predict,asym logistic,lasso,0.8348,0.1402,0.426,0.5896,0.2713,1.7799
Cap,63,dynamic,quantile,daily,Adj_MI,63,lambda_j,recession,predict,asym logistic,lasso_company,0.8032,0.1764,0.5358,0.6723,0.2754,0.904
