,0
289,13905850875.73341
290,23716037394.752975
291,23883709954.252445
292,38197343157.99624
293,23798317610.235367
294,29103810093.10682
295,30335688619.12017
296,37378364032.91411
297,64940061968.5278
298,58424066136.67429
299,36585154835.16728
300,44656357960.70018
301,45278687104.257065
302,44364977606.603485
303,43614469428.961975
304,36819686741.427
305,45979125189.52466
306,48265711011.494125
307,26861702273.622852
308,11537462715.511288
309,10621076034.1925
310,18102292397.757442
311,23376594397.72417
312,30174877206.600094
313,36055577642.955376
314,39862917698.11131
315,30574549705.20288
316,28517718412.282722
317,31024271521.601337
318,35480420891.84424
319,36653959369.25518
320,33825371694.168182
321,21372528061.24203
322,25553408797.50327
323,33764216778.440464
324,34740739409.40134
325,24542409068.888763
326,32393746387.91955
327,28768172435.869526
328,23464322764.775646
329,43879006104.203094
330,34745583611.55323
331,26136716741.664055
332,33415499365.641823
333,36193397143.2539
334,40115515310.19383
335,53386679538.96636
336,30578078669.606014
337,30196115357.982895
338,38298465259.22484
339,31720251782.301006
340,21130648648.26446
341,10873994144.240486
342,8846836765.33801
343,11498448561.823435
344,23117919963.171764
345,33727085980.333054
346,33521858728.70702
347,30216493787.361324
348,24646142054.25024
349,26188312646.599953
350,24625115467.678226
351,18692468410.284534
352,25939057122.37159
353,15968045814.680477
354,22494698986.45629
355,23561293174.055473
356,31882899779.21142
357,21906307938.214195
358,39169886022.74899
359,33507344169.96099
360,50342290070.30686
361,55702653155.465065
362,49045335998.2656
363,20465206389.36095
364,38968032752.93944
365,44064470771.2539
366,52356489618.21118
367,70853482905.8906
368,51509424887.55591
369,47993577083.59398
370,41113560492.560295
371,24015021202.6411
372,27182921134.13536
373,35235200783.551315
374,38919496236.89454
375,26334171132.070793
376,17854004613.536373
377,15844117390.145628
378,26443297366.910946
379,27954317170.49962
380,34010828093.303528
381,41362914573.43908
382,40955834875.92045
383,38704607874.943245
384,30889227889.585323
385,23435072063.302235
386,21833352068.33533
387,30540908286.709858
388,27741291286.038307
389,22203487984.070545
390,21059912671.523003
391,37088385888.32191
392,29123314261.30925
393,65888632211.17921
394,35022179968.96605
395,12404036087.672115
396,14870196641.047174
397,22875339483.61548
398,33025130323.85511
399,46471423024.10252
400,51670147686.75219
401,43424083054.34007
402,48374451610.71199
403,32577736021.54497
404,15370031098.323788
405,19815181629.38092
406,30069700420.238754
407,34896373441.835014
408,27775644352.60315
409,18146322537.649467
410,15119547586.332273
411,14538383096.99158
412,19468064559.08892
413,30013812747.20064
414,28991801249.875786
415,33095306713.598614
416,32770988983.68343
417,26253805957.34917
418,23248866621.682995
419,21503834938.382812
420,29416895210.34496
421,22002049897.769173
422,31933045845.747948
423,34796791091.4863
424,38869109278.258354
425,59177734566.54805
426,45650807411.01371
427,16160030263.247314
428,25278036971.982437
429,23226163206.26659
430,30606276282.827694
431,47928266930.80981
432,50766529932.59404
433,50240533998.301994
434,56323188663.84983
435,43279066550.49419
436,34026747389.73755
437,39285444704.519516
438,33316308205.006084
439,32724188975.580616
440,42613301026.95752
441,44501936007.09862
442,38131194726.45976
443,17473046007.12328
444,12756564241.914303
445,18419967278.85842
446,29076138511.44851
447,36150772134.31688
448,33933644662.98829
449,35943025327.26122
450,24009109561.258717
451,26059962967.51568
452,25409139092.90285
453,25631289677.2666
454,17216642514.303333
455,33961234415.504444
456,20864464763.354736
457,44377699996.370346
458,31448903020.069565
459,14110573644.399223
460,19671162863.756886
461,25557025454.502357
462,25514180113.985348
463,30640982172.453358
464,28858426545.734188
465,33095916727.63792
466,43542326925.24638
467,28447009963.055473
468,33875889744.935608
