,bitcoin,ethereum,tether,binancecoin,ripple,usd-coin,solana,tron,staked-ether,dogecoin
2025-04-18 13:00:00,1680100503272.2212,192316354463.46375,144776931978.53848,86322575013.78868,121526851625.11522,60857088119.081184,69672402541.4665,23139042786.278347,14797712035.205086,23245046324.323025
2025-04-18 14:00:00,1678281747856.2605,192353190711.21448,144782826657.83435,86354868280.92593,120950362927.27478,60891886557.41189,69511138229.68204,23128295533.743755,14780641531.92078,23310324510.457245
2025-04-18 15:00:00,1678378745778.504,191763016924.9694,144785108228.98697,86330077687.22765,120999127567.73769,60884259762.55492,68808810569.90462,23073803028.02108,14742672148.100842,23313740929.419865
2025-04-18 16:00:00,1675251292798.3071,190996725818.9169,144791022066.6349,86614001261.02164,120159339828.20837,60910736803.94119,68678407224.097,23059710230.38275,14684583882.053082,23262258399.21772
2025-04-18 17:00:00,1676711557709.6987,191431090726.75702,144778626146.7356,86802376060.28139,120390064260.86244,60898588549.87686,68811090896.63467,22971888302.331127,14712831889.103245,23338706898.42734
2025-04-18 18:00:00,1678453680071.4846,192078705532.56323,144770021072.5825,86827362614.21666,121262891102.7033,60898518713.795525,69169956132.32712,22971278743.544617,14768394454.953007,23426148170.236187
2025-04-18 19:00:00,1679566267183.4626,192350561440.931,144776987147.35974,86843275102.51292,121504272815.59467,60878361205.66706,69186824603.52057,22919425305.718384,14790419633.924044,23564612706.352226
2025-04-18 20:00:00,1678193986880.4192,192190087036.91956,144781981582.3568,86432525342.11783,121293610214.94943,60877824388.537704,69207771159.2601,23003211601.29214,14765722422.92274,23492644809.997116
2025-04-18 21:00:00,1677440518709.4849,192246298413.2608,144784579656.5012,86493655948.19211,121011766959.18788,60877839146.98248,69152383900.456,22860944362.03972,14784758639.719933,23519803027.628696
2025-04-18 22:00:00,1679079545153.7322,192739212233.40863,144783701861.21655,86690102175.64503,121335467279.68233,60877284435.981514,69306073552.35645,22844150395.831745,14815343737.230421,23617022516.74699
2025-04-18 23:00:00,1677744600572.3074,192308351329.03964,144782068018.02325,86631360507.63432,121105844766.84856,60904154384.4315,69222330075.80754,22800997388.052124,14784152711.015816,23540986275.822395
